positive,negative,date
1.75,1.125,1/1/15
11.875,10.25,1/2/15
1.0,0.625,1/5/15
7.5,11.0,1/6/15
10.125,13.75,1/6/15
5.0,6.75,1/7/15
3.625,1.375,1/9/15
1.5,5.875,1/12/15
2.0,0.625,1/13/15
5.375,7.125,1/14/15
3.0,1.875,1/14/15
0.125,0.75,1/15/15
4.375,12.75,1/16/15
2.875,1.75,1/16/15
5.375,4.625,1/19/15
6.0,6.875,1/20/15
0.875,0.0,1/21/15
7.25,2.5,1/22/15
4.875,5.625,1/23/15
10.0,9.75,1/23/15
0.0,1.125,1/23/15
1.875,1.75,1/25/15
11.0,10.375,1/26/15
3.0,3.125,1/27/15
7.0,5.25,1/27/15
8.25,6.375,1/28/15
10.375,6.125,1/29/15
5.125,6.25,1/29/15
0.75,0.875,1/31/15
7.75,4.5,2/2/15
3.25,9.125,2/4/15
1.0,2.25,2/4/15
2.5,3.5,2/5/15
6.625,3.25,2/5/15
2.944,2.056,2/6/15
2.875,6.625,2/6/15
2.25,4.75,2/6/15
3.0,4.125,2/6/15
1.0,1.25,2/7/15
4.5,6.125,2/9/15
10.125,7.75,2/9/15
4.0,5.75,2/10/15
3.625,0.875,2/11/15
2.875,1.375,2/11/15
0.75,0.25,2/11/15
8.0,2.125,2/12/15
1.25,1.5,2/12/15
2.0,0.375,2/12/15
3.75,5.375,2/12/15
2.5,5.25,2/13/15
1.25,1.375,2/16/15
1.5,0.0,2/17/15
1.75,2.125,2/18/15
7.0,4.375,2/18/15
1.375,0.75,2/19/15
3.0,3.125,2/19/15
1.375,1.375,2/20/15
6.625,5.5,2/21/15
0.5,1.375,2/23/15
7.0,8.125,2/23/15
0.375,0.25,2/23/15
6.125,7.0,2/24/15
3.125,1.0,2/24/15
0.5,0.25,2/26/15
5.75,10.625,2/27/15
4.625,2.5,2/27/15
3.0,4.375,3/2/15
0.125,0.125,3/2/15
2.875,3.875,3/3/15
2.625,2.5,3/4/15
4.375,6.0,3/6/15
1.25,0.5,3/7/15
3.75,0.5,3/9/15
14.75,11.375,3/9/15
7.0,6.75,3/10/15
0.375,0.75,3/11/15
6.875,8.375,3/12/15
2.25,0.0,3/12/15
